framework,workload,runid,wall_time_sec,max_rss_kb,logfile
hadoop,A,1,18.98,26880,experiments/logs/hadoop_A_run1_data.time.txt
hadoop,A,1,21.97,27520,experiments/logs/hadoop_A_run1_data_large.time.txt
hadoop,A,1,20.31,26496,experiments/logs/hadoop_A_run1_data_small.time.txt
hadoop,A,2,18.28,27520,experiments/logs/hadoop_A_run2_data.time.txt
hadoop,A,2,19.54,26624,experiments/logs/hadoop_A_run2_data_large.time.txt
hadoop,A,2,18.6,27008,experiments/logs/hadoop_A_run2_data_small.time.txt
hadoop,A,3,19.06,27008,experiments/logs/hadoop_A_run3_data.time.txt
hadoop,A,3,19.86,26880,experiments/logs/hadoop_A_run3_data_large.time.txt
hadoop,A,3,18.85,27264,experiments/logs/hadoop_A_run3_data_small.time.txt
hadoop,A,4,18.13,27136,experiments/logs/hadoop_A_run4_data.time.txt
hadoop,A,4,19.25,27520,experiments/logs/hadoop_A_run4_data_large.time.txt
hadoop,A,4,20.67,26880,experiments/logs/hadoop_A_run4_data_small.time.txt
hadoop,A,5,19.28,27008,experiments/logs/hadoop_A_run5_data.time.txt
hadoop,A,5,19.26,27008,experiments/logs/hadoop_A_run5_data_large.time.txt
hadoop,A,5,20.81,26624,experiments/logs/hadoop_A_run5_data_small.time.txt
hadoop,B,1,18.18,27008,experiments/logs/hadoop_B_run1_data.time.txt
hadoop,B,1,20.69,27264,experiments/logs/hadoop_B_run1_data_large.time.txt
hadoop,B,1,19.42,26624,experiments/logs/hadoop_B_run1_data_small.time.txt
hadoop,B,2,18.16,26880,experiments/logs/hadoop_B_run2_data.time.txt
hadoop,B,2,20.7,27008,experiments/logs/hadoop_B_run2_data_large.time.txt
hadoop,B,2,20.37,27008,experiments/logs/hadoop_B_run2_data_small.time.txt
hadoop,B,3,18.92,26880,experiments/logs/hadoop_B_run3_data.time.txt
hadoop,B,3,19.21,27264,experiments/logs/hadoop_B_run3_data_large.time.txt
hadoop,B,3,18.63,27136,experiments/logs/hadoop_B_run3_data_small.time.txt
hadoop,B,4,18.27,27136,experiments/logs/hadoop_B_run4_data.time.txt
hadoop,B,4,19.65,26496,experiments/logs/hadoop_B_run4_data_large.time.txt
hadoop,B,4,18.24,26880,experiments/logs/hadoop_B_run4_data_small.time.txt
hadoop,B,5,18.12,27008,experiments/logs/hadoop_B_run5_data.time.txt
hadoop,B,5,21.02,27008,experiments/logs/hadoop_B_run5_data_large.time.txt
hadoop,B,5,18.64,27264,experiments/logs/hadoop_B_run5_data_small.time.txt
hadoop,C,1,23.9,26880,experiments/logs/hadoop_C_run1_data.time.txt
hadoop,C,1,23.8,27008,experiments/logs/hadoop_C_run1_data_large.time.txt
hadoop,C,1,18.12,26752,experiments/logs/hadoop_C_run1_data_small.time.txt
hadoop,C,2,21.77,26752,experiments/logs/hadoop_C_run2_data.time.txt
hadoop,C,2,24.28,27008,experiments/logs/hadoop_C_run2_data_large.time.txt
hadoop,C,2,19.38,26240,experiments/logs/hadoop_C_run2_data_small.time.txt
hadoop,C,3,21.38,26880,experiments/logs/hadoop_C_run3_data.time.txt
hadoop,C,3,25.53,26752,experiments/logs/hadoop_C_run3_data_large.time.txt
hadoop,C,3,20.03,26880,experiments/logs/hadoop_C_run3_data_small.time.txt
hadoop,C,4,19.37,26752,experiments/logs/hadoop_C_run4_data.time.txt
hadoop,C,4,24.62,26752,experiments/logs/hadoop_C_run4_data_large.time.txt
hadoop,C,4,24.97,26880,experiments/logs/hadoop_C_run4_data_small.time.txt
hadoop,C,5,20.5,26624,experiments/logs/hadoop_C_run5_data.time.txt
hadoop,C,5,23.62,27136,experiments/logs/hadoop_C_run5_data_large.time.txt
hadoop,C,5,21.53,26752,experiments/logs/hadoop_C_run5_data_small.time.txt
mongo,A,1,0.71,26752,experiments/logs/mongo_A_run1_data.time.txt
mongo,A,1,3.24,26496,experiments/logs/mongo_A_run1_data_large.time.txt
mongo,A,1,2.59,26880,experiments/logs/mongo_A_run1_data_small.time.txt
mongo,A,2,0.44,27520,experiments/logs/mongo_A_run2_data.time.txt
mongo,A,2,0.45,26752,experiments/logs/mongo_A_run2_data_large.time.txt
mongo,A,2,0.64,26880,experiments/logs/mongo_A_run2_data_small.time.txt
mongo,A,3,0.43,27008,experiments/logs/mongo_A_run3_data.time.txt
mongo,A,3,0.44,26624,experiments/logs/mongo_A_run3_data_large.time.txt
mongo,A,3,0.53,26496,experiments/logs/mongo_A_run3_data_small.time.txt
mongo,A,4,0.44,27008,experiments/logs/mongo_A_run4_data.time.txt
mongo,A,4,0.45,27520,experiments/logs/mongo_A_run4_data_large.time.txt
mongo,A,4,0.54,27136,experiments/logs/mongo_A_run4_data_small.time.txt
mongo,A,5,0.44,26624,experiments/logs/mongo_A_run5_data.time.txt
mongo,A,5,0.45,27008,experiments/logs/mongo_A_run5_data_large.time.txt
mongo,A,5,0.61,27008,experiments/logs/mongo_A_run5_data_small.time.txt
mongo,B,1,2.79,26880,experiments/logs/mongo_B_run1_data.time.txt
mongo,B,1,2.25,26624,experiments/logs/mongo_B_run1_data_large.time.txt
mongo,B,1,2.07,27264,experiments/logs/mongo_B_run1_data_small.time.txt
mongo,B,2,0.57,27136,experiments/logs/mongo_B_run2_data.time.txt
mongo,B,2,0.46,26496,experiments/logs/mongo_B_run2_data_large.time.txt
mongo,B,2,0.46,27136,experiments/logs/mongo_B_run2_data_small.time.txt
mongo,B,3,0.46,26624,experiments/logs/mongo_B_run3_data.time.txt
mongo,B,3,0.47,26624,experiments/logs/mongo_B_run3_data_large.time.txt
mongo,B,3,0.45,27136,experiments/logs/mongo_B_run3_data_small.time.txt
mongo,B,4,0.44,26368,experiments/logs/mongo_B_run4_data.time.txt
mongo,B,4,0.55,26880,experiments/logs/mongo_B_run4_data_large.time.txt
mongo,B,4,0.5,26240,experiments/logs/mongo_B_run4_data_small.time.txt
mongo,B,5,0.46,26752,experiments/logs/mongo_B_run5_data.time.txt
mongo,B,5,0.61,26880,experiments/logs/mongo_B_run5_data_large.time.txt
mongo,B,5,0.43,26752,experiments/logs/mongo_B_run5_data_small.time.txt
mongo,C,1,3.81,27136,experiments/logs/mongo_C_run1_data.time.txt
mongo,C,1,2.82,27008,experiments/logs/mongo_C_run1_data_large.time.txt
mongo,C,1,1.47,26496,experiments/logs/mongo_C_run1_data_small.time.txt
mongo,C,2,0.9,26624,experiments/logs/mongo_C_run2_data.time.txt
mongo,C,2,0.77,26496,experiments/logs/mongo_C_run2_data_large.time.txt
mongo,C,2,0.72,27136,experiments/logs/mongo_C_run2_data_small.time.txt
mongo,C,3,0.73,27264,experiments/logs/mongo_C_run3_data.time.txt
mongo,C,3,0.78,26624,experiments/logs/mongo_C_run3_data_large.time.txt
mongo,C,3,0.74,26880,experiments/logs/mongo_C_run3_data_small.time.txt
mongo,C,4,0.74,27008,experiments/logs/mongo_C_run4_data.time.txt
mongo,C,4,0.76,26880,experiments/logs/mongo_C_run4_data_large.time.txt
mongo,C,4,0.73,27008,experiments/logs/mongo_C_run4_data_small.time.txt
mongo,C,5,0.88,26624,experiments/logs/mongo_C_run5_data.time.txt
mongo,C,5,1.02,26752,experiments/logs/mongo_C_run5_data_large.time.txt
mongo,C,5,0.73,26752,experiments/logs/mongo_C_run5_data_small.time.txt
spark,A,1,8.09,26880,experiments/logs/spark_A_run1_data.time.txt
spark,A,1,10.91,26752,experiments/logs/spark_A_run1_data_large.time.txt
spark,A,1,11.73,26752,experiments/logs/spark_A_run1_data_small.time.txt
spark,A,2,6.75,26752,experiments/logs/spark_A_run2_data.time.txt
spark,A,2,7.25,26880,experiments/logs/spark_A_run2_data_large.time.txt
