countriesAndTerritories,total_cases,total_deaths,CFR
Sudan,1563,392,0.2507997440818938
Yemen,168,35,0.20833333333333334
Mexico,138265,13089,0.09466603985101074
Liberia,174,15,0.08620689655172414
China,2738,196,0.07158509861212564
Egypt,5397,352,0.06522141930702242
Togo,233,12,0.05150214592274678
Iran,117055,5601,0.047849301610354104
Somalia,235,11,0.04680851063829787
Syria,1155,53,0.04588744588744589
Kyrgyzstan,19206,869,0.04524627720504009
Bolivia,12325,553,0.04486815415821501
Niger,362,16,0.04419889502762431
Tunisia,7048,309,0.0438422247446084
Djibouti,190,8,0.042105263157894736
Gambia,488,20,0.040983606557377046
Ecuador,17281,700,0.04050691510907933
Bulgaria,17512,697,0.03980127912288716
El_Salvador,4086,158,0.03866862457170827
Chad,156,6,0.038461538461538464
